제목,채널명,재생 수,좋아요 수
[NBA] '서부 파이널 진출 확정' 스플래시 브라더스 활약상,SPOTV_NBA,18493,78
"내 발명품이 고통 줘 비통"…루나·테라 폭락 '공식 사과',SBS뉴스,7319,1
이찬원&영탁 - 흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야 | KBS 220514 방송,불후의 명곡2 전설을 노래하다,5922,3629
[손흥민 이슈] 손흥민 득점에 흥분하는 현지 팬들,인터티비,50895,241
'애매한 상황' 굉장히 어수선해지며 지연되는 경기 / 2회말,KBO리그 한화 홈경기 영상,8708,26
심사위원의 귀와 눈물을 훔친 이성경❣️ 방송을 500번 돌려보다?! ＂지금은 700번 될 것 같아요ㅎㅎ＂😚 MBC 220514 방송,놀면 뭐하니?,5115,38
찬원아! 영탁 민호 중에 누가 더 좋아? 찬원이의 답은?! | KBS 220514 방송,불후의 명곡2 전설을 노래하다,4701,2003
영탁 - 오케이 | KBS 220514 방송,불후의 명곡2 전설을 노래하다,3491,1828
김원중 고비에서 정은원을 삼진 잡아내며 마무리 / 9회말,KBO리그 한화 홈경기 영상,4055,29
[예능연구소 4K] 임영웅 1위 직캠 '다시 만날 수 있을까 ' (LIM YOUNG-WOONG No.1 Encore FanCam) @Show!MusicCore 220514,쇼! 음악중심,6838,2612
이찬원 - 그댈 만나러 갑니다 | KBS 220514 방송,불후의 명곡2 전설을 노래하다,3189,1728
[뉴스7 취재후 Talk] 74년만에 열린 국민의 정원…"우리 모두가 주인",TV조선 뉴스,3196,6
엘레나를 도와줄 최고급 귀를 가진 파트너의 등장?!✨  MBC 220514 방송,놀면 뭐하니?,5635,23
김정은 '1호 상비약 기부'에 '버드나무 요법'까지,뉴스는 YTN,3574,3
미국으로 가야하는 현실😭 일라이 여권 뺏어🛫 TV CHOSUN 20220513 방송,우리 이혼했어요2,62058,279
장민호 - 남자는 말합니다 | KBS 220514 방송,불후의 명곡2 전설을 노래하다,3071,1236
변호사 같은 음식 평가...?? 분석하는 윤시윤! ＂맛있어요! 객관적으로!＂ | KBS 220514 방송,현재는 아름다워,2692,35
장민호&영탁&이찬원 - 사내 | KBS 220514 방송,불후의 명곡2 전설을 노래하다,6161,3634
'KK' 최준용 압도적인 구위로 필승조 임무 완수 / 8회말,KBO리그 한화 홈경기 영상,6336,176
[14회 예고] ＂련이의 상처를 들여다볼 준비가 되었구나＂ MBC 220514 방송,내일,38730,215
김희재가 장하은에게 궁금한 것?! ✨ ＂남자친구 있습니까?＂ MBC 220514 방송,지금부터 쇼타임!,2760,805
이혼을 겪고 기본적인 욕구들이 사라졌다는 전 남편👀 TV CHOSUN 20220513 방송,우리 이혼했어요2,47712,61
北 코로나 사망자 급증…김정은 "건국 이래 대동란",TV조선 뉴스,6137,6
나물이 왜 거기서 나와...? 찬원이네 안방 안에 숨어있던 비밀 공간의 정체 | KBS 220513 방송,신상출시 편스토랑,38432,4947
[크랩] “양예빈 기록도 깼다”…서울대생 육상 금메달리스트 ‘박다윤’,KBS뉴스,15212,3
역대 최초 팀 통산 47000안타 주인공 김지찬 / 8회말,KBO리그 삼성 홈경기 영상,17922,252
하루 사망자 21명‥"건국 이래 대동란",MBC뉴스,3710,0
＂엄마! 나 드디어 고백받았어!＂ 신난 배다빈과 달리 심드렁한 박지영의 반응... | KBS 220514 방송,현재는 아름다워,2732,17
장민호&영탁&이찬원 - 둥지 | KBS 220514 방송,불후의 명곡2 전설을 노래하다,1962,1085
아직도 깊이 기억하고 있는 그때 그 시절... ＂아직도 현재 못 잊었니?＂ | KBS 220514 방송,현재는 아름다워,2058,9
힘든 이삿날에도 든든히 연수를 지키는 일라이🌟 TV CHOSUN 20220513 방송,우리 이혼했어요2,43837,296
"이재명 일병 살리기" vs "진짜 도둑은 국민의힘" 맹공,JTBC뉴스,5783,4
[공식발표] 손흥민 EPL 올해의 선수 후보 선정 '20개팀 주장+팬투표 합산 결정' (투표 진행 중,한준TV,27877,151
